playerId,season,name,team,position,situation,games_played,icetime,primaryAssists,secondaryAssists,shotsOnGoal,shotAttempts,points,goals,penalties,penalityMinutes,hits,takeaways,giveaways,lowDangerGoals,mediumDangerGoals,highDangerGoals,faceoffsWon,faceoffsLost,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_goals,OnIce_A_goals
8481704,2022,Juuso Parssinen,NSH,C,5on5,45,32732,6,6,43,73,15,3,6,15,72,23,12,0,1,2,140,139,21,9,18,23,22
8481704,2022,Juuso Parssinen,NSH,C,4on5,45,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481704,2022,Juuso Parssinen,NSH,C,5on4,45,4997,3,4,3,15,8,1,0,0,3,1,4,0,1,0,9,0,0,0,0,10,2
8479968,2022,Vinni Lettieri,BOS,C,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8479968,2022,Vinni Lettieri,BOS,C,all,1,590,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1
8479968,2022,Vinni Lettieri,BOS,C,5on5,1,590,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1
8479968,2022,Vinni Lettieri,BOS,C,4on5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8479968,2022,Vinni Lettieri,BOS,C,5on4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8471303,2022,Alexander Edler,LAK,D,other,64,715,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
8471303,2022,Alexander Edler,LAK,D,all,64,56734,5,4,56,154,11,2,17,34,106,6,27,1,1,0,0,0,10,5,104,43,56
8471303,2022,Alexander Edler,LAK,D,5on5,64,50696,5,4,55,151,11,2,17,34,101,4,24,1,1,0,0,0,8,4,78,39,42
8471303,2022,Alexander Edler,LAK,D,4on5,64,5220,0,0,1,1,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,2,11
8471303,2022,Alexander Edler,LAK,D,5on4,64,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
8476329,2022,Travis Boyd,ARI,C,other,82,2354,0,2,5,8,2,0,0,0,0,1,3,0,0,0,9,24,2,1,2,6,11
8476329,2022,Travis Boyd,ARI,C,all,82,81329,9,10,94,168,34,15,13,26,39,35,34,5,5,5,502,654,30,15,59,67,98
8476329,2022,Travis Boyd,ARI,C,5on5,82,62683,5,4,67,123,21,12,10,20,34,28,20,4,5,3,385,495,26,13,52,39,62
8476329,2022,Travis Boyd,ARI,C,4on5,82,4974,0,0,3,3,0,0,0,0,4,4,2,0,0,0,43,38,2,1,1,0,20
